url,label,source,ts
http://google.com,0,benign_feed,2025-01-01
https://openai.com/research,0,benign_feed,2025-01-02
http://example.org/docs?id=1,0,benign_feed,2025-01-03
http://microsoft.com/download,0,benign_feed,2025-01-04
https://github.com/login,0,benign_feed,2025-01-05
http://safe-site.net/about,0,benign_feed,2025-01-06
http://accounts.google.com/security,0,benign_feed,2025-01-07
http://news.ycombinator.com,0,benign_feed,2025-01-08
https://docs.python.org/3/,0,benign_feed,2025-01-09
http://wikipedia.org/wiki/url,0,benign_feed,2025-01-10
http://cnn.com/world,0,benign_feed,2025-01-11
http://cloudflare.com/status,0,benign_feed,2025-01-12
http://bank-secure-login.verify-now.ru/account,1,phish_feed,2025-01-13
http://paypal-security-check.com/login.php,1,phish_feed,2025-01-14
http://192.168.0.12/verify/account,1,phish_feed,2025-01-15
http://update-account-info.cn/confirm?user=a,1,phish_feed,2025-01-16
https://appleid.verify-session.support/login,1,phish_feed,2025-01-17
http://xn--pple-43d.com/security,1,phish_feed,2025-01-18
http://free-gift-card-now.biz/win?uid=1234,1,phish_feed,2025-01-19
https://signin-microsoft-alerts.top/office365,1,phish_feed,2025-01-20
http://secure-login-check.tk/paypal,1,phish_feed,2025-01-21
http://dropbox.com/home,0,benign_feed,2025-02-01
https://notion.so/help,0,benign_feed,2025-02-02
http://slack.com/signin,0,benign_feed,2025-02-03
http://my-bank-secure-check.top/verify,1,phish_feed,2025-02-04
http://wallet-kickstart-airdrop.live/connect,1,phish_feed,2025-02-05
http://github.com-session-support.com/auth,1,phish_feed,2025-02-06
http://mail.google.com,0,threatintel_b,2025-02-07
http://office.com,0,threatintel_b,2025-02-08
http://secure-docs-sharepoint.verify-login.ru,1,threatintel_b,2025-02-09
http://adobe-pdf-viewer-update.gq/install,1,threatintel_b,2025-02-10
http://oracle.com/products,0,threatintel_b,2025-02-11
http://bankofamerica.com,0,threatintel_b,2025-02-12
http://boa-security-alert-login.com,1,threatintel_b,2025-02-13
http://spotify.com,0,threatintel_b,2025-02-14
http://netflix.com,0,threatintel_b,2025-02-15
http://billing-netflix-check.info/update,1,threatintel_b,2025-02-16
