url,label
http://google.com,0
https://openai.com/research,0
http://example.org/docs?id=1,0
http://microsoft.com/download,0
https://github.com/login,0
http://safe-site.net/about,0
http://accounts.google.com/security,0
http://news.ycombinator.com,0
https://docs.python.org/3/,0
http://bank-secure-login.verify-now.ru/account,1
http://paypal-security-check.com/login.php,1
http://192.168.0.12/verify/account,1
http://update-account-info.cn/confirm?user=a,1
https://appleid.verify-session.support/login,1
http://xn--pple-43d.com/security,1
http://free-gift-card-now.biz/win?uid=1234,1
https://signin-microsoft-alerts.top/office365,1
http://secure-login-check.tk/paypal,1
