url,url_length,domain_length,path_length,query_length,fragment_length,subdomain_count,special_char_count,digit_count,letter_count,suspicious_words_count,ip_in_domain,shortened_url,suspicious_tld,domain_age_days,ssl_certificate,redirect_count,suspicious_extension,url_depth,avg_word_length,entropy,suspicious_patterns,label
http://www.linkedin.com/products,32,8,9,0,0,1,6,0,26,0,0,0,0,0,0,0,0,1,5.2,4.116729296672174,0,0
https://www.apple.com/news?id=459,33,5,5,6,0,1,8,3,22,0,0,0,0,0,1,0,0,1,3.6666666666666665,4.27137063437885,0,0
https://www.slack.com/blog,26,5,5,0,0,1,6,0,20,0,0,0,0,0,1,0,0,1,4.0,3.8731406795131327,0,0
http://www.google.com/login,27,6,6,0,0,1,6,0,21,1,0,0,0,0,0,0,0,1,4.2,3.708048150071232,0,0
http://www.stackoverflow.com/help,33,13,5,0,0,1,6,0,27,0,0,0,0,0,0,0,0,1,5.4,4.0060710131011685,0,0
https://www.salesforce.com/login,32,10,6,0,0,1,6,0,26,1,0,0,0,0,1,0,0,1,5.2,4.093139062229566,0,0
https://www.microsoft.com/login,31,9,6,0,0,1,6,0,25,1,0,0,0,0,1,0,0,1,5.0,3.9134007456613777,0,0
http://www.youtube.com/login?id=838,35,7,6,6,0,1,8,3,24,1,0,0,0,0,0,0,0,1,4.0,4.3572958738405685,0,0
https://www.oracle.com/news,27,6,5,0,0,1,6,0,21,0,0,0,0,0,1,0,0,1,4.2,3.838039816898156,0,0
http://www.wikipedia.org/support,32,9,8,0,0,1,6,0,26,0,0,0,0,0,0,0,0,1,5.2,3.8667292966721747,0,0
http://www.ibm.com/support?lang=875,35,3,8,8,0,1,8,3,24,0,0,0,0,0,0,0,0,1,4.0,4.414438730983425,0,0
https://www.apple.com/terms,27,5,6,0,0,1,6,0,21,0,0,0,0,0,1,0,0,1,4.2,3.754163427768882,0,0
http://www.oracle.com/news,26,6,5,0,0,1,6,0,20,0,0,0,0,0,0,0,0,1,4.0,3.8252517372886503,0,0
http://www.twitter.com/terms,28,7,6,0,0,1,6,0,22,0,0,0,0,0,0,0,0,1,4.4,3.512188403968661,0,0
https://www.github.com/help?category=31,39,6,5,11,0,1,8,2,29,0,0,0,0,0,1,0,0,1,4.833333333333333,4.406821128952238,0,0
http://www.ibm.com?ref=943,26,3,0,7,0,1,7,3,16,0,0,0,0,0,0,0,0,0,3.2,4.2098671219040344,0,0
https://www.zoom.us/?category=978,33,4,1,12,0,1,8,3,22,0,0,0,0,0,1,0,0,0,4.4,4.346831997884095,0,0
https://www.oracle.com/privacy,30,6,8,0,0,1,6,0,24,0,0,0,0,0,1,0,0,1,4.8,4.031401845392171,0,0
http://www.wikipedia.org/contact,32,9,8,0,0,1,6,0,26,0,0,0,0,0,0,0,0,1,5.2,3.890319531114783,0,0
https://www.linkedin.com/download,33,8,9,0,0,1,6,0,27,0,0,0,0,0,1,0,0,1,5.4,3.98319563424773,0,0
http://www.twitter.com/terms,28,7,6,0,0,1,6,0,22,0,0,0,0,0,0,0,0,1,4.4,3.512188403968661,0,0
https://www.adobe.com/download?ref=252,38,5,9,7,0,1,8,3,27,0,0,0,0,0,1,0,0,1,4.5,4.313459750171824,0,0
http://www.facebook.com/blog,28,8,5,0,0,1,6,0,22,0,0,0,0,0,0,0,0,1,4.4,3.8962915290459277,0,0
http://www.salesforce.com,25,10,0,0,0,1,5,0,20,0,0,0,0,0,0,0,0,0,5.0,3.893660689688185,0,0
https://www.salesforce.com/services,35,10,9,0,0,1,6,0,29,0,0,0,0,0,1,0,0,1,5.8,3.9328743603470446,0,0
http://www.twitter.com/privacy,30,7,8,0,0,1,6,0,24,0,0,0,0,0,0,0,0,1,4.8,3.7614063297218427,0,0
http://www.netflix.com,22,7,0,0,0,1,5,0,17,0,0,0,0,0,0,0,0,0,4.25,3.845350936622435,0,0
https://www.adobe.com/?lang=208,31,5,1,8,0,1,8,3,20,0,0,0,0,0,1,0,0,0,4.0,4.389364858634393,0,0
http://www.github.com/login?page=126,36,6,6,8,0,1,8,3,25,1,0,0,0,0,0,0,0,1,4.166666666666667,4.363826390090814,0,0
http://www.salesforce.com/terms,31,10,6,0,0,1,6,0,25,0,0,0,0,0,0,0,0,1,5.0,3.8646983261669603,0,0
https://www.dropbox.com/help,28,7,5,0,0,1,6,0,22,0,0,0,0,0,1,0,0,1,4.4,3.9137995646056796,0,0
http://www.github.com/contact,29,6,8,0,0,1,6,0,23,0,0,0,0,0,0,0,0,1,4.6,3.7588670992335302,0,0
http://www.ibm.com/support,26,3,8,0,0,1,6,0,20,0,0,0,0,0,0,0,0,1,4.0,3.7381493331928657,0,0
http://www.slack.com/products?category=509,42,5,9,12,0,1,8,3,31,0,0,0,0,0,0,0,0,1,5.166666666666667,4.433634982148037,0,0
https://www.apple.com/help?ref=294,34,5,5,7,0,1,8,3,23,0,0,0,0,0,1,0,0,1,3.8333333333333335,4.1973257087065035,0,0
https://www.ibm.com/help,24,3,5,0,0,1,6,0,18,0,0,0,0,0,1,0,0,1,3.6,3.772055208874201,0,0
https://www.wikipedia.org/about,31,9,6,0,0,1,6,0,25,0,0,0,0,0,1,0,0,1,5.0,3.9779168746936358,0,0
https://www.zoom.us,19,4,0,0,0,1,5,0,14,0,0,0,0,0,1,0,0,0,3.5,3.471354487013929,0,0
http://www.netflix.com/news,27,7,5,0,0,1,6,0,21,0,0,0,0,0,0,0,0,1,4.2,3.8841550945958057,0,0
https://www.twitter.com/products?category=268,45,7,9,12,0,1,8,3,34,0,0,0,0,0,1,0,0,1,5.666666666666667,4.27694121937285,0,0
https://www.facebook.com/privacy,32,8,8,0,0,1,6,0,26,0,0,0,0,0,1,0,0,1,5.2,4.155639062229566,0,0
https://www.youtube.com/products,32,7,9,0,0,1,6,0,26,0,0,0,0,0,1,0,0,1,5.2,3.9056390622295662,0,0
https://www.zoom.us/products?page=590,37,4,9,8,0,1,8,3,26,0,0,0,0,0,1,0,0,1,4.333333333333333,4.330282419332173,0,0
https://www.adobe.com/privacy,29,5,8,0,0,1,6,0,23,0,0,0,0,0,1,0,0,1,4.6,4.116264615668023,0,0
https://www.spotify.com/news,28,7,5,0,0,1,6,0,22,0,0,0,0,0,1,0,0,1,4.4,3.7979026896829473,0,0
https://www.microsoft.com/,26,9,1,0,0,1,6,0,20,0,0,0,0,0,1,0,0,0,5.0,3.661226256269789,0,0
https://www.salesforce.com/services,35,10,9,0,0,1,6,0,29,0,0,0,0,0,1,0,0,1,5.8,3.9328743603470446,0,0
http://www.microsoft.com/terms,30,9,6,0,0,1,6,0,24,0,0,0,0,0,0,0,0,1,4.8,3.7395722619867224,0,0
https://www.dropbox.com/contact,31,7,8,0,0,1,6,0,25,0,0,0,0,0,1,0,0,1,5.0,3.8488846166291193,0,0
http://www.zoom.us/login,24,4,6,0,0,1,6,0,18,1,0,0,0,0,0,0,0,1,3.6,3.8239348962840563,0,0
http://www.zoom.us/support,26,4,8,0,0,1,6,0,20,0,0,0,0,0,0,0,0,1,4.0,3.555269044648117,0,0
https://www.ibm.com,19,3,0,0,0,1,5,0,14,0,0,0,0,0,1,0,0,0,3.5,3.5766176449086653,0,0
http://www.adobe.com?category=968,33,5,0,12,0,1,7,3,23,0,0,0,0,0,0,0,0,0,4.6,4.309101316131472,0,0
http://www.youtube.com/terms,28,7,6,0,0,1,6,0,22,0,0,0,0,0,0,0,0,1,4.4,3.8248629576173565,0,0
http://www.twitter.com/contact?id=145,37,7,8,6,0,1,8,3,26,0,0,0,0,0,0,0,0,1,4.333333333333333,4.0429328397173245,0,0
http://www.github.com/privacy,29,6,8,0,0,1,6,0,23,0,0,0,0,0,0,0,0,1,4.6,4.021268494903765,0,0
http://www.netflix.com/,23,7,1,0,0,1,6,0,17,0,0,0,0,0,0,0,0,0,4.25,3.8164027166443875,0,0
https://www.twitter.com/services,32,7,9,0,0,1,6,0,26,0,0,0,0,0,1,0,0,1,5.2,3.691428031846024,0,0
http://www.apple.com/privacy,28,5,8,0,0,1,6,0,22,0,0,0,0,0,0,0,0,1,4.4,3.8962915290459277,0,0
http://www.dropbox.com/blog?id=833,34,7,5,6,0,1,8,3,23,0,0,0,0,0,0,0,0,1,3.8333333333333335,4.219528282299547,0,0
http://www.twitter.com?category=787,35,7,0,12,0,1,7,3,25,0,0,0,0,0,0,0,0,0,5.0,4.057575159678481,0,0
https://www.apple.com/download,30,5,9,0,0,1,6,0,24,0,0,0,0,0,1,0,0,1,4.8,3.8314018453921714,0,0
http://www.linkedin.com/blog,28,8,5,0,0,1,6,0,22,0,0,0,0,0,0,0,0,1,4.4,4.039148671903072,0,0
https://www.netflix.com/contact,31,7,8,0,0,1,6,0,25,0,0,0,0,0,1,0,0,1,5.0,3.92599298842148,0,0
http://www.linkedin.com/blog,28,8,5,0,0,1,6,0,22,0,0,0,0,0,0,0,0,1,4.4,4.039148671903072,0,0
https://www.adobe.com/terms,27,5,6,0,0,1,6,0,21,0,0,0,0,0,1,0,0,1,4.2,3.85619629821938,0,0
http://www.netflix.com/privacy,30,7,8,0,0,1,6,0,24,0,0,0,0,0,0,0,0,1,4.8,4.164735178725505,0,0
http://www.wikipedia.org/contact,32,9,8,0,0,1,6,0,26,0,0,0,0,0,0,0,0,1,5.2,3.890319531114783,0,0
http://www.spotify.com/services,31,7,9,0,0,1,6,0,25,0,0,0,0,0,0,0,0,1,5.0,3.953565664946427,0,0
https://www.dropbox.com/news,28,7,5,0,0,1,6,0,22,0,0,0,0,0,1,0,0,1,4.4,3.8962915290459277,0,0
https://www.netflix.com/about?id=391,36,7,6,6,0,1,8,3,25,0,0,0,0,0,1,0,0,1,4.166666666666667,4.516875695766562,0,0
https://www.zoom.us/login,25,4,6,0,0,1,6,0,19,1,0,0,0,0,1,0,0,1,3.8,3.8332696895151073,0,0
http://www.google.com/terms,27,6,6,0,0,1,6,0,21,0,0,0,0,0,0,0,0,1,4.2,3.7541634277688813,0,0
https://www.github.com/help,27,6,5,0,0,1,6,0,21,0,0,0,0,0,1,0,0,1,4.2,3.90231157591703,0,0
https://www.apple.com/,22,5,1,0,0,1,6,0,16,0,0,0,0,0,1,0,0,0,4.0,3.629219686524096,0,0
http://www.adobe.com/contact?category=707,41,5,8,12,0,1,8,3,30,0,0,0,0,0,0,0,0,1,5.0,4.1898860782540055,0,0
https://www.netflix.com/download?ref=646,40,7,9,7,0,1,8,3,29,0,0,0,0,0,1,0,0,1,4.833333333333333,4.415311532225102,0,0
http://www.netflix.com/about?category=332,41,7,6,12,0,1,8,3,30,0,0,0,0,0,0,0,0,1,5.0,4.482569005083273,0,0
http://www.twitter.com/support?id=957,37,7,8,6,0,1,8,3,26,0,0,0,0,0,0,0,0,1,4.333333333333333,4.100816878908575,0,0
https://www.microsoft.com/services,34,9,9,0,0,1,6,0,28,0,0,0,0,0,1,0,0,1,5.6,3.8588029144615947,0,0
http://www.wikipedia.org,24,9,0,0,0,1,5,0,19,0,0,0,0,0,0,0,0,0,4.75,3.7201755214643453,0,0
http://www.adobe.com/,21,5,1,0,0,1,6,0,15,0,0,0,0,0,0,0,0,0,3.75,3.6537567082870006,0,0
https://www.spotify.com/signup,30,7,7,0,0,1,6,0,24,0,0,0,0,0,1,0,0,1,4.8,3.9144093452479405,0,0
http://www.apple.com/,21,5,1,0,0,1,6,0,15,0,0,0,0,0,0,0,0,0,3.75,3.5225715891363594,0,0
http://www.salesforce.com?page=339,34,10,0,8,0,1,7,3,24,0,0,0,0,0,0,0,0,0,4.8,4.278351811711311,0,0
https://www.stackoverflow.com/about?ref=446,43,13,6,7,0,1,8,3,32,0,0,0,0,0,1,0,0,1,5.333333333333333,4.385453417442482,0,0
https://www.linkedin.com/terms,30,8,6,0,0,1,6,0,24,0,0,0,0,0,1,0,0,1,4.8,4.031401845392171,0,0
https://www.github.com/contact,30,6,8,0,0,1,6,0,24,0,0,0,0,0,1,0,0,1,4.8,3.8444138295776114,0,0
http://www.github.com/services,30,6,9,0,0,1,6,0,24,0,0,0,0,0,0,0,0,1,4.8,4.031401845392171,0,0
https://www.slack.com/blog,26,5,5,0,0,1,6,0,20,0,0,0,0,0,1,0,0,1,4.0,3.8731406795131327,0,0
https://www.spotify.com/terms,29,7,6,0,0,1,6,0,23,0,0,0,0,0,1,0,0,1,4.6,3.8143719431796277,0,0
http://www.slack.com/news,25,5,5,0,0,1,6,0,19,0,0,0,0,0,0,0,0,1,3.8,3.813660689688185,0,0
http://www.oracle.com/login?ref=1000,36,6,6,8,0,1,8,4,24,1,0,0,0,0,0,0,0,1,4.0,4.308270834535259,0,0
http://www.twitter.com/download?category=691,44,7,9,12,0,1,8,3,33,0,0,0,0,0,0,0,0,1,5.5,4.280470187252587,0,0
http://www.youtube.com,22,7,0,0,0,1,5,0,17,0,0,0,0,0,0,0,0,0,4.25,3.663532754804254,0,0
http://www.linkedin.com/login,29,8,6,0,0,1,6,0,23,1,0,0,0,0,0,0,0,1,4.6,3.9262723741395074,0,0
https://www.google.com/contact,30,6,8,0,0,1,6,0,24,0,0,0,0,0,1,0,0,1,4.8,3.7647351787255054,0,0
https://www.youtube.com/contact?id=339,38,7,8,6,0,1,8,3,27,0,0,0,0,0,1,0,0,1,4.5,4.284001448099094,0,0
http://www.wikipedia.org/signup?ref=457,39,9,7,7,0,1,8,3,28,0,0,0,0,0,0,0,0,1,4.666666666666667,4.37489516746925,0,0
http://www.microsoft.com/login,30,9,6,0,0,1,6,0,24,1,0,0,0,0,0,0,0,1,4.8,3.8980685120588388,0,0
http://www.linkedin.com/,24,8,1,0,0,1,6,0,18,0,0,0,0,0,0,0,0,0,4.5,3.855388542207534,0,0
https://www.apple.com/products?category=759,43,5,9,12,0,1,8,3,32,0,0,0,0,0,1,0,0,1,5.333333333333333,4.379298475431077,0,0
https://www.wikipedia.org/?ref=94,33,9,1,6,0,1,8,2,23,0,0,0,0,0,1,0,0,0,4.6,4.2107645737727895,0,0
http://www.oracle.com/terms,27,6,6,0,0,1,6,0,21,0,0,0,0,0,0,0,0,1,4.2,3.782122224145306,0,0
https://www.microsoft.com/terms,31,9,6,0,0,1,6,0,25,0,0,0,0,0,1,0,0,1,5.0,3.735666068102444,0,0
http://www.youtube.com/terms,28,7,6,0,0,1,6,0,22,0,0,0,0,0,0,0,0,1,4.4,3.8248629576173565,0,0
https://www.apple.com/blog,26,5,5,0,0,1,6,0,20,0,0,0,0,0,1,0,0,1,4.0,3.8441065448145375,0,0
http://www.twitter.com/login,28,7,6,0,0,1,6,0,22,1,0,0,0,0,0,0,0,1,4.4,3.7229074943218796,0,0
http://www.ibm.com/privacy,26,3,8,0,0,1,6,0,20,0,0,0,0,0,0,0,0,1,4.0,3.8731406795131322,0,0
http://www.slack.com/support,28,5,8,0,0,1,6,0,22,0,0,0,0,0,0,0,0,1,4.4,3.842370993177109,0,0
https://www.stackoverflow.com/support?id=371,44,13,8,6,0,1,8,3,33,0,0,0,0,0,1,0,0,1,5.5,4.453416561671606,0,0
https://www.microsoft.com/terms,31,9,6,0,0,1,6,0,25,0,0,0,0,0,1,0,0,1,5.0,3.735666068102444,0,0
https://www.google.com/products?ref=559,39,6,9,7,0,1,8,3,28,0,0,0,0,0,1,0,0,1,4.666666666666667,4.304257026388135,0,0
